,customer_id,recency,frequency,monetary,median_purchase_days,churn_ratio,monetary_log,cluster_assignment,segment
0,12346.0,164,7,372.86,13.5,12.148148148148149,5.923881395784186,2,"Experimental / Hesitant, Lower-Value Buyers"
1,12347.0,2,2,1323.32,37.0,0.05405405405405406,7.188654399137086,0,Seasonal Buyers
2,12348.0,73,1,222.16,73.0,1.0,5.407889002977328,0,Seasonal Buyers
3,12349.0,42,3,2671.14,91.0,0.46153846153846156,7.890634928493536,0,Seasonal Buyers
4,12351.0,10,1,300.93,10.0,1.0,5.710195202428391,0,Seasonal Buyers
5,12352.0,10,2,343.8,17.0,0.5882352941176471,5.842964538789538,0,Seasonal Buyers
6,12353.0,43,1,317.76,43.0,1.0,5.764438468529548,0,Seasonal Buyers
7,12355.0,202,1,488.21000000000004,202.0,1.0,6.192791845141295,2,"Experimental / Hesitant, Lower-Value Buyers"
8,12356.0,15,3,3562.25,22.0,0.6818181818181818,8.17842832873514,1,"Monthly, High-Value Buyers"
9,12357.0,23,1,12079.99,23.0,1.0,9.399388421773173,1,"Monthly, High-Value Buyers"
10,12358.0,10,3,2719.01,178.0,0.056179775280898875,7.908390835753873,0,Seasonal Buyers
11,12359.0,60,6,2563.36,82.0,0.7317073170731707,7.8494642138008395,1,"Monthly, High-Value Buyers"
12,12360.0,14,5,1590.83,46.0,0.30434782608695654,7.372639576782921,0,Seasonal Buyers
13,12361.0,97,3,321.35,110.0,0.8818181818181818,5.775637911756629,0,Seasonal Buyers
14,12362.0,373,1,130.0,373.0,1.0,4.875197323201151,2,"Experimental / Hesitant, Lower-Value Buyers"
15,12366.0,268,1,500.24,268.0,1.0,6.217085028297085,2,"Experimental / Hesitant, Lower-Value Buyers"
16,12368.0,263,1,917.6999999999999,263.0,1.0,6.822959627277421,2,"Experimental / Hesitant, Lower-Value Buyers"
17,12369.0,48,3,1791.1499999999999,114.0,0.42105263157894735,7.491171295388921,0,Seasonal Buyers
18,12370.0,259,2,774.62,44.0,5.886363636363637,6.653662709523911,2,"Experimental / Hesitant, Lower-Value Buyers"
19,12371.0,44,2,2179.42,236.0,0.1864406779661017,7.687272797776933,0,Seasonal Buyers
20,12373.0,259,2,763.0500000000001,49.0,5.285714285714286,6.638633232051267,2,"Experimental / Hesitant, Lower-Value Buyers"
